nct_id,Type,Criterion
NCT06962280,Exclusion,Are currently receiving or planning to receive treatment for diabetic retinopathy and/or macular edema
NCT06962280,Exclusion,Have had chronic or acute pancreatitis
NCT06962280,Exclusion,"Have used any weight loss drugs or alternative remedies, including herbal or nutritional supplements, within 90 days prior to screening"
NCT06914895,Inclusion,Have type 1 diabetes and on insulin treatment for at least one year prior to screening
NCT06914895,Inclusion,"Have an HbA1c value of 7.0% to 10.5% inclusive, at screening"
NCT06914895,Inclusion,Have a body mass index (BMI) of ≥25 kilograms per square meter (kg/m2) at screening
NCT06914895,Inclusion,Are of stable weight for at least 90 days prior to screening and agree to not start an intensive diet or exercise program during the study
NCT06914895,Exclusion,Have experienced two or more events requiring hospitalization due to poor glucose control (hyperglycemia or (diabetic ketoacidosis (DKA)) during the period of 180 days prior to screening and until randomization.
NCT06914895,Exclusion,Have experienced one or more events of severe hypoglycemia during the period of 90 days prior to screening and until randomization.
NCT06914895,Exclusion,Are currently receiving or planning to receive treatment for diabetic retinopathy and/or macular edema
NCT06914895,Exclusion,Have had chronic or acute pancreatitis
NCT06914895,Exclusion,"Have used any weight loss drugs or alternative remedies, including herbal or nutritional supplements, within 90 days prior to screening"
